Summary of all floorplans by difficulty:

easy: 23 file(s)
   ../cubicasa5k-sample-59/easy/high_quality/14127/info.txt  (score: 0.284746)
   ../cubicasa5k-sample-59/easy/high_quality/10083/info.txt  (score: 0.235028)
   ../cubicasa5k-sample-59/easy/high_quality/14413/info.txt  (score: 0.178531)
   ../cubicasa5k-sample-59/easy/high_quality/10395/info.txt  (score: 0.178531)
   ../cubicasa5k-sample-59/easy/high_quality/5133/info.txt  (score: 0.083616)
   ../cubicasa5k-sample-59/easy/colorful/12200/info.txt  (score: 0.284746)
   ../cubicasa5k-sample-59/easy/colorful/3722/info.txt  (score: 0.263277)
   ../cubicasa5k-sample-59/easy/colorful/14926/info.txt  (score: 0.263277)
   ../cubicasa5k-sample-59/easy/high_quality_architectural/7955/info.txt  (score: 0.016949)
   ../cubicasa5k-sample-59/easy/high_quality_architectural/13769/info.txt  (score: 0.178531)
   ../cubicasa5k-sample-59/easy/high_quality_architectural/6324/info.txt  (score: 0.196610)
   ../cubicasa5k-sample-59/easy/high_quality_architectural/3694/info.txt  (score: 0.196610)
   ../cubicasa5k-sample-59/easy/high_quality_architectural/11025/info.txt  (score: 0.196610)
   ../cubicasa5k-sample-59/easy/high_quality_architectural/10739/info.txt  (score: 0.178531)
   ../cubicasa5k-sample-59/easy/high_quality_architectural/6347/info.txt  (score: 0.178531)
   ../cubicasa5k-sample-59/easy/high_quality_architectural/233/info.txt  (score: 0.016949)
   ../cubicasa5k-sample-59/easy/high_quality_architectural/10738/info.txt  (score: 0.150282)
   ../cubicasa5k-sample-59/easy/high_quality_architectural/12146/info.txt  (score: 0.083616)
   ../cubicasa5k-sample-59/easy/high_quality_architectural/14310/info.txt  (score: 0.083616)
   ../cubicasa5k-sample-59/medium/high_quality/12190/info.txt  (score: 0.319774)
   ../cubicasa5k-sample-59/medium/high_quality/9000/info.txt  (score: 0.318644)
   ../cubicasa5k-sample-59/medium/high_quality/14892/info.txt  (score: 0.319774)
   ../cubicasa5k-sample-59/medium/high_quality_architectural/1829/info.txt  (score: 0.318644)

medium: 30 file(s)
   ../cubicasa5k-sample-59/medium/high_quality/14267/info.txt  (score: 0.488136)
   ../cubicasa5k-sample-59/medium/high_quality/9857/info.txt  (score: 0.640839)
   ../cubicasa5k-sample-59/medium/high_quality/12153/info.txt  (score: 0.386441)
   ../cubicasa5k-sample-59/medium/high_quality/10635/info.txt  (score: 0.576271)
   ../cubicasa5k-sample-59/medium/high_quality/11384/info.txt  (score: 0.484746)
   ../cubicasa5k-sample-59/medium/high_quality/12623/info.txt  (score: 0.608555)
   ../cubicasa5k-sample-59/medium/colorful/13689/info.txt  (score: 0.352542)
   ../cubicasa5k-sample-59/medium/colorful/13022/info.txt  (score: 0.484746)
   ../cubicasa5k-sample-59/medium/colorful/3137/info.txt  (score: 0.352542)
   ../cubicasa5k-sample-59/medium/colorful/3598/info.txt  (score: 0.620339)
   ../cubicasa5k-sample-59/medium/colorful/11578/info.txt  (score: 0.600000)
   ../cubicasa5k-sample-59/medium/colorful/12217/info.txt  (score: 0.484746)
   ../cubicasa5k-sample-59/medium/colorful/13195/info.txt  (score: 0.503793)
   ../cubicasa5k-sample-59/medium/colorful/2196/info.txt  (score: 0.537692)
   ../cubicasa5k-sample-59/medium/colorful/6297/info.txt  (score: 0.592413)
   ../cubicasa5k-sample-59/medium/colorful/9017/info.txt  (score: 0.650847)
   ../cubicasa5k-sample-59/medium/colorful/8395/info.txt  (score: 0.352542)
   ../cubicasa5k-sample-59/medium/high_quality_architectural/11144/info.txt  (score: 0.600000)
   ../cubicasa5k-sample-59/medium/high_quality_architectural/9232/info.txt  (score: 0.419209)
   ../cubicasa5k-sample-59/medium/high_quality_architectural/14438/info.txt  (score: 0.352542)
   ../cubicasa5k-sample-59/medium/high_quality_architectural/1854/info.txt  (score: 0.484746)
   ../cubicasa5k-sample-59/medium/high_quality_architectural/2090/info.txt  (score: 0.430508)
   ../cubicasa5k-sample-59/medium/high_quality_architectural/13645/info.txt  (score: 0.656981)
   ../cubicasa5k-sample-59/medium/high_quality_architectural/14326/info.txt  (score: 0.577401)
   ../cubicasa5k-sample-59/medium/high_quality_architectural/47/info.txt  (score: 0.498305)
   ../cubicasa5k-sample-59/medium/high_quality_architectural/13202/info.txt  (score: 0.487006)
   ../cubicasa5k-sample-59/medium/high_quality_architectural/12586/info.txt  (score: 0.594189)
   ../cubicasa5k-sample-59/medium/high_quality_architectural/7571/info.txt  (score: 0.554802)
   ../cubicasa5k-sample-59/medium/high_quality_architectural/2032/info.txt  (score: 0.640839)
   ../cubicasa5k-sample-59/medium/high_quality_architectural/2200/info.txt  (score: 0.352542)

hard: 2 file(s)
   ../cubicasa5k-sample-59/medium/high_quality_architectural/4973/info.txt  (score: 0.684584)
   ../cubicasa5k-sample-59/medium/high_quality_architectural/14640/info.txt  (score: 0.695884)

